Arquivo,Estrategia,Limiar,TempoTotal(s),TempoOrdenacao(ns)
testes/exp1_N1000_M50000_C500.txt,QuickSort_Limiar_10,10,TEMPO_ORDENACAO_NS:8928360667,8928360667
testes/exp1_N1000_M50000_C500.txt,QuickSort_Limiar_50,50,TEMPO_ORDENACAO_NS:1260425479,1260425479
testes/exp1_N1000_M50000_C500.txt,QuickSort_Limiar_100,100,TEMPO_ORDENACAO_NS:781621395,781621395
testes/exp1_N1000_M50000_C500.txt,QuickSort_Limiar_250,250,TEMPO_ORDENACAO_NS:508025860,508025860
testes/exp1_N1000_M50000_C500.txt,QuickSort_Limiar_500,500,TEMPO_ORDENACAO_NS:392280496,392280496
testes/exp1_N1000_M50000_C500.txt,QuickSort_Limiar_1000,1000,TEMPO_ORDENACAO_NS:354112859,354112859
testes/exp2_N1000_M5000_C500_freq_baixa.txt,QuickSort_Limiar_10,10,TEMPO_ORDENACAO_NS:2567959289,2567959289
testes/exp2_N1000_M5000_C500_freq_baixa.txt,QuickSort_Limiar_50,50,TEMPO_ORDENACAO_NS:1313080609,1313080609
testes/exp2_N1000_M5000_C500_freq_baixa.txt,QuickSort_Limiar_100,100,TEMPO_ORDENACAO_NS:4104504099,4104504099
testes/exp2_N1000_M5000_C500_freq_baixa.txt,QuickSort_Limiar_250,250,TEMPO_ORDENACAO_NS:1108032383,1108032383
testes/exp2_N1000_M5000_C500_freq_baixa.txt,QuickSort_Limiar_500,500,TEMPO_ORDENACAO_NS:1074380679,1074380679
testes/exp2_N1000_M5000_C500_freq_baixa.txt,QuickSort_Limiar_1000,1000,TEMPO_ORDENACAO_NS:1061973380,1061973380
testes/exp3_N100_M5000_C100_freq_media.txt,QuickSort_Limiar_10,10,TEMPO_ORDENACAO_NS:12593632,12593632
testes/exp3_N100_M5000_C100_freq_media.txt,QuickSort_Limiar_50,50,TEMPO_ORDENACAO_NS:3128889,3128889
testes/exp3_N100_M5000_C100_freq_media.txt,QuickSort_Limiar_100,100,TEMPO_ORDENACAO_NS:2162170,2162170
testes/exp3_N100_M5000_C100_freq_media.txt,QuickSort_Limiar_250,250,TEMPO_ORDENACAO_NS:1693381,1693381
